Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,lat,lon
Ariola,YES,Annie.Liu@ccbq.org,FY24 SC 249,CCNS Woodhaven-Richmond Hill OAC,89-02 91St Street ,Queens,11421,32,32,Queens CD9,Annie Liu,718-847-9200,Annie.Liu@ccbq.org,C1716,Main Site,OAC,Annie.Liu@ccbq.org,"Annie Liu, Director of Operations for OAS",,32,Ariola,40.69045488,-73.85294627
Ariola,YES,rjoyce@jasa.org,FY24 SC 244,JASA Rockaway Park,106-20 Shore Front Parkway,Queens,11694,32,32,queens CD14,Revere Joyce ,718-634-3044,rjoyce@jasa.org,W2206,Main Site,OAC,rjoyce@jasa.org,Revere Joyce,,32,Ariola,40.58072274,-73.82671335
Aviles,YES,katy@bca.net,FY24 SC 281,BCA 6th Avenue Older Adult Center,545 60th Street,Brooklyn,11200,38,38,Brooklyn CD7   ,KATY CHAU,718-567-9311,katy@bca.net,C1203,Main Site,OAC,katy@bca.net,Katy Chau,,38,Aviles,40.63886915,-74.01513683
Aviles,YES,tmcbride@ccbq.org,FY24 SC 241,CCNS Narrows OAC,930 53rd Street,Brooklyn,11219,43,38,Brooklyn CD12 ,Tselita McBride,718-232-2311,tmcbride@ccbq.org,C1714,Main Site,OAC,tmcbride@ccbq.org,Tselita McBride,,38,Aviles,40.63744284,-74.00217265
Aviles,YES,smei@cpc-nyc.org,FY24 SC 284,CPC Brooklyn Senior Center,4101 8th Avenue,Brooklyn,11232,38,38,Brooklyn CD7   ,Steve Mei,917-922-8382,smei@cpc-nyc.org,C2101,Main Site,OAC,smei@cpc-nyc.org,Steve Mei,,38,Aviles,40.64606971,-73.99854417
Aviles,YES,msanchez@raices.us,FY24 SC 252,Red Hook NSC,120 West 9th Street,Brooklyn,11231,38,38,Brooklyn CD6   ,Maria Sanchez,718-269-0519,msanchez@raices.us,C7201,Main Site,OAC,msanchez@raices.us,Maria Sanchez,,38,Aviles,40.67592467,-74.0019612
Aviles,YES,Derin.Martinez@nyulangone.org,FY24 SC 285,Sunset Park OAC,4520 4th Avenue,Brooklyn,11220,38,38,Brooklyn CD7   ,Derin Martinez,718-210-1050,Derin.Martinez@nyulangone.org,C8002,Main Site,OAC,Derin.Martinez@nyulangone.org,Derin Martinez ,,38,Aviles,40.64911052,-74.00984531
Aviles,YES,griselamador@hotmail.com,FY24 SC 287,United Neighborhood Senior Citizens Ctr,475 53rd Street,Brooklyn,11220,38,38,Brooklyn CD7   ,Grisel Amador,718-439-8647/ 8646,griselamador@hotmail.com,C8601,Main Site,OAC,griselamador@hotmail.com,Grisel Amador - Executive Director ,,38,Aviles,40.64385946,-74.01276691
Ayala,YES,KREYES@IPRHE.ORG,FY24 SC 067,Betances ,607 Concord Avenue,Bronx,10455,8,8,Bronx CD1,Karen Reyes,718-292-4922,karen.reyes@iprhe.org,W1601,Main Site,OAC,KREYES@IPRHE.ORG,KAREN REYES,,8,Ayala,40.81454416,-73.9076279
Ayala,NO,,FY24 SC 141,Bronxworks E Roberts Moore,515 Jackson Avenue,Bronx,10455,8,8,Bronx CD1,Wanda Abeyllez,718 665-5559,wabeyllez@bronxworks.org,C1102,Main Site,OAC,,,,8,Ayala,40.81235254,-73.90940109
Ayala,NO,,FY24 SC 070,Carver ,55 East 102 Street,Manhattan,10029,8,8,Manhattan CD11,James Correa,212-860-9708,aliranzo@iprhe.org,W1603,Main Site,OAC,,,,8,Ayala,40.79083979,-73.95085282
Ayala,YES,wmartinez@boriken.org,FY24 SC 071,Casabe Senior Houses aka East Harlem NSC,150 East 121st Street,Manhattan,10035,8,8,Manhattan CD11,Wendy Martinez,212-722-2205,Wmartinez@boriken.org,C3001,Main Site,OAC,wmartinez@boriken.org,Wendy  Martinez,,8,Ayala,40.80170327,-73.9390373
Ayala,YES,carrascom@carterburdennetwork.org ,FY24 SC 044,CBN Leonard Covello (ISC) Senior Program,312 East 109th Street,Manhattan,10029,8,8,Manhattan CD11,Mara Carrasco,212-423-9665,carrascom@carterburdennetwork.org; moralesb@carterburdennetwork.org ,C1603,Main Site,OAC,carrascom@carterburdennetwork.org ,Mara Carrasco,,8,Ayala,40.79230607,-73.94047965
Ayala,YES,RJimenez@unionsettlement.org,FY24 SC 072,Corsi OAC,307 E 116th Street,Manhattan,10029,8,8,Manhattan CD11,Roossvert Jimenez,212-828-6756,Rjimenez@unionsettlement.org,W2405,Main Site,OAC,RJimenez@unionsettlement.org,Roossvert Jimenez ,,8,Ayala,40.7969349,-73.93758976
Ayala,YES,Egarcia1@eastsidehouse.org,FY24 SC 073,East Side House Borinquen Court Mitchel OAC,295 East 138th Street,Bronx,10454,8,8,Bronx CD1,Miquel Orta,718-665-2168,morta@eastsidehouse.org,C3101,Main Site,OAC,Egarcia1@eastsidehouse.org,Emily Garcia ,,8,Ayala,40.81046231,-73.92602811
Ayala,YES,SWhite@unionsettlement.org,FY24 SC 075,Gaylord White OAC,2029 2nd Avenue,Manhattan,10029,8,8,Manhattan CD11,Sherice White,212-828-6055,shwhite@unionsettlement.org,W2401,Main Site,OAC,SWhite@unionsettlement.org,Sherice White ,,8,Ayala,40.78947218,-73.94328816
Ayala,YES,vlopez@jasa.org,FY24 SC 076,JASA 1199 PLAZA NORC,2106 FIRST AVENUE,Manhattan,10029,8,8,111,Nicole Thomas ,212-289-3836,nthomas@jasa.org; vlopez@jasa.org,3N4,Discretionary,NORC,vlopez@jasa.org,Victoria Lopez,FY24 SC 076,8,Ayala,40.79130338,-73.93882291
Ayala,NO,,FY24 SC 077,Jefferson OAC,2205 1st Avenue,Manhattan,10029,8,8,Manhattan CD11,Sasha Tapia,212-828-6104,stapia@unionsettlement.org,W2403,Main Site,OAC,,,,8,Ayala,40.79431866,-73.93664959
Ayala,NO,,FY24 SC 078,Lehman Village Senior Program (Social Club),1641 Madison Avenue,Manhattan,10029,8,8,Manhattan CD11,Cecilia Cordova,646.370.5642 ,Cordovac@carterburdennetwork.org ,C1604,Affiliated,OAC,,,,8,Ayala,40.79583937,-73.94786592
Ayala,YES,akramer@wsfssh.org,FY24 SC 063,Mill Brook OAC,570 East 137th Street,Bronx,10454,8,8,Bronx CD1,Amelia Kramer,646-214-2450 Ext. 2457,akramer@wsfssh.org,C9103,Main Site,OAC,akramer@wsfssh.org,Amelia J. Kramer,,8,Ayala,40.80599372,-73.91767084
Ayala,YES,Agomez@eastsidehouse.org,FY24 SC 079,Patterson Older Adult Centers,308 East 145th Street ,Bronx,10451,8,8,Bronx CD1,Maribel Rodriguez,718-993-5146,agomez@eastsidehouse.org,C3103,Affiliated,OAC,Agomez@eastsidehouse.org,Alicia Gomez ,,8,Ayala,40.81519717,-73.92217894
Ayala,NO,,FY24 SC 080,UNION SETTLEMENT FRANKLIN PLAZA NORC,2090 SECOND AVENUE,Manhattan,10029,8,8,111,Melanie Kane,646-676-1801,mkane@unionsettlement.org,N70,DFTA-Funded,NORC,,,,8,Ayala,40.79158485,-73.94172623
Ayala,NO,,FY24 SC 081,Wagner Satellite,435 East 120th Street ,Manhattan,10035,8,8,Manhattan CD11,Lamont Wilson,212-987-2980,lwilson@unionsettlement.org,W2404,Affiliated,OAC,,,,8,Ayala,40.79804072,-73.93218552
Ayala,YES,ASoto@unionsettlement.org,FY24 SC 082,Washington Lexington Satellite,1775 3rd Avenue,Manhattan,10029,8,8,Manhattan CD11,Annette Soto,212-828-6115,asoto@unionsettlement.org,W2402,Affiliated,OAC,ASoto@unionsettlement.org,Annette Soto ,,8,Ayala,40.78657336,-73.9483029
Barron,YES,plynch@milldev.org,FY24 SC 246,Bergen Basin Abe Stark Older Adult Center,103-15 Farragut Road,Brooklyn,11236,42,42,Brooklyn CD18   ,Patricia Lynch,718-272-9515,plynch@milldev.org,C0801,Main Site,OAC,plynch@milldev.org,Patricia Lynch,,42,Barron,40.64966796,-73.8992901
Barron,YES,tking@milldev.org,FY24 SC 309,Bergen Basin Penn Wortman Older Adult Center,895 Pennsylvania Avenue,Brooklyn,11207,42,42,Brooklyn CD5,Tashia King,347-318-3770,tking@milldev.org>,C0806,Main Site,OAC,tking@milldev.org,Tashia King,,42,Barron,40.65596566,-73.88865218
Barron,YES,sdundas@milldev.org,FY24 SC 310,Bergen Basin Vandalia Older Adult Center,47 Vandalia Avenue,Brooklyn,11239,42,42,Brooklyn CD5,Simone Dundas,718-272-3949,sdundas@milldev.org,C0807,Main Site,OAC,sdundas@milldev.org,Simone Dundas,,42,Barron,40.64979903,-73.8867597
Barron,NO,,FY24 SC 346,CCNS Riverway OAC (ISC),230 Riverdale Avenue,Brooklyn,11212,41,42,Brooklyn CD16  ,Leticia Knowles,718-942-5345 ,leticia.knowles@ccbq.org,C1708,Main Site,OAC,,,,42,Barron,40.66108259,-73.90802423
Barron,YES,awilliamsonchasc@gmail.com,FY24 SC 313,Cypress Hills Adult Social Club,475 Fountain Avenue,Brooklyn,11208,42,42,Brooklyn CD5,Alener Williamson,347-529-7333,awilliamsonchasc@gmail.com,C2802,Affiliated,OAC,awilliamsonchasc@gmail.com,Alener Williamson,,42,Barron,40.66828725,-73.87300506
Barron,YES,dforde@jasa.org,FY24 SC 125,JASA Starrett City Older Adult Center,1540 Van Siclen Avenue,Brooklyn,11239,42,42,Brooklyn CD5,Donna Forde      ,718 642-1010,dforde@jasa.org,C8308,Main Site,OAC,dforde@jasa.org,Donna Forde,,42,Barron,40.64821415,-73.8776127
Barron,NO,,FY24 SC 315,SPRING CREEK NORC,160 SCHROEDERS AVENUE,Brooklyn,11239,42,42,305,Jahiah Wilson,718-348-7620,JWilson@springcreektowers.com,N63,DFTA-Funded,NORC,,,,42,Barron,40.64873503,-73.87961179
Barron,YES,cokoro@fortgreenecouncil.org,FY24 SC 274,Teresa Moore OAC,2702 Linden Boulevard,Brooklyn,11208,42,42,Brooklyn CD5,Chike Okoro,347-663-7770,cokoro@fortgreenecouncil.org,C3513,Main Site,OAC,cokoro@fortgreenecouncil.org,Chike Okoro,,42,Barron,40.66920804,-73.86451402
Barron,YES,bcolon@wordnyc.org,FY24 SC 316,Wayside Out Rosetta Gaston Senior Center,460 Dumont Avenue,Brooklyn,11212,42,42,Brooklyn CD16  ,Bethzaida Colon,718-345-5665,bcolon@wordnyc.org,C9001,Main Site,OAC,bcolon@wordnyc.org,Bethzaida Colon,,42,Barron,40.66514008,-73.90222249
Borelli,YES,sschechter@sijcc.com,FY24 SC 373,Avis South Shore OAC,1297 Arthur Kill Road,Staten Island,10312,51,51,Staten Island CD3,Stefanie Schechter,718-475-5283,sschechter@sijcc.com,W1702,Main Site,OAC,sschechter@sijcc.com,"Stefanie Schechter, MSW",,51,Borelli,40.56533825,-74.18377437
Borelli,YES,greatkillsfc@aol.com,FY24 SC 371,Great Kills OAC,11 Sampson Avenue,Staten Island,10308,51,51,Staten Island CD3,Debbie Sica,718-356-5050,greatkillsfc@aol.com,C7701,Main Site,OAC,greatkillsfc@aol.com,Debbie Sica,,51,Borelli,40.55261872,-74.1498055
Borelli,YES,mountlorettosc@gmail.com,FY24 SC 367,Mount Loretto OAC,6581 Hylan Boulevard,Staten Island,10309,51,51,Staten Island CD3,"Amy Ciccone, Director",718-984-8589,mountlorettosc@gmail.com,C7703,Main Site,OAC,mountlorettosc@gmail.com,Amy Ciccone,,51,Borelli,40.50908356,-74.22092994
Bottcher,YES,slee@encorenyc.org,FY24 SC 031,Encore Aging Through Arts Center,239 West 49th Sreet,Manhattan,10019,3,3,Brooklyn CD10,Stacey Lee ,212-581-2910 ext. 1107,slee@encorenyc.org; SChristian@encorenyc.org,W1401,Main Site,OAC,slee@encorenyc.org,Stacey Lee,,3,Bottcher,40.76114304,-73.98531188
Bottcher,NO,,FY24 SC 032,FIND Aid Coffeehouse Center,331 West 42nd Street,Manhattan,10036,3,3,Manhattan CD4,Aaron De Broux,646-545-4621 ext. 212,adebroux@projectfind.org,C3302,Main Site,OAC,,,,3,Bottcher,40.757677,-73.99082085
Bottcher,YES,ascott@hudsonguild.org ,FY24 SC 033,Hudson Guild ,119 9th Avenue,Manhattan,10011,3,3,Manhattan CD4,Armisha Scott,212-760-9800 ext. 4023,ascott@hudsonguild.org,C8201,Main Site,OAC,ascott@hudsonguild.org ,Armisha Scott ,,3,Bottcher,40.74317131,-74.00376036
Bottcher,NO,,FY24 SC 034,HUDSON GUILD ELLIOTT-CHELSEA NORC,441 W. 26TH STREET,Manhattan,10001,3,3,104,Yesenia Zuniga,212-760-9800,yzuniga@hudsonguild.org; nstewart@hudsonguild.org,N67,DFTA-Funded- NYCHA,NORC,,,,3,Bottcher,40.74919608,-74.00181538
Bottcher,NO,,FY24 SC 035,JCW Workforce Center,27 Barrow Street,Manhattan,10014,3,3,Manhattan CD2,Nancy Spannbauer,212-242-4140,acilione@greenwichhouse.org,W1504,Main Site,OAC,,,,3,Bottcher,40.73248601,-74.00311028
Bottcher,NO,aacevedo@encorenyc.org,FY24 SC 036,Lifelong Learning Center @ Encore West,755 10th Avenue,Manhattan,10019,3,3,Manhattan CD4,Anita Acevedo,212-991-3727 ext. 1141,aacevedo@encorenyc.org,W1402,Main Site,OAC,aacevedo@encorenyc.org,Anita Acevedo,,3,Bottcher,40.76546112,-73.99123493
Bottcher,YES,mspringer@greenwichhouse.org,FY24 SC 037,Our Lady of Pompeii,25 Carmine Street,Manhattan,10014,3,3,Manhattan CD2,Mary Springer,212-989-3620,nbrown@greenwichhouse.org,W1502,Main Site,OAC,mspringer@greenwichhouse.org,Mary Springer,,3,Bottcher,40.73017768,-74.00295502
Bottcher,NO,,FY24 SC 038,PENN SOUTH NORC,290 9TH AVENUE,Manhattan,10001,3,3,104,Marie Orraca,212-243-3670,morraca@jasa.org,N58,DFTA-Funded,NORC,,,,3,Bottcher,40.74892437,-73.99954525
Bottcher,NO,,FY24 SC 039,SAGE Edie Windsor Center,305 7th Avenue,Manhattan,10001,3,3,Manhattan CD5,Deidre Best,646-576-8669,dbest@sageusa.org,C6904,Main Site,OAC,,,,3,Bottcher,40.74681623,-73.9936554
Bottcher,YES,dcruz@visionsvcb.org,FY24 SC 040,Visions Center on Aging OAC ,135 West 23rd Street,Manhattan,10011,3,3,Manhattan CD4,Diana Cruz,646-486-4444 ,dcruz@visionsvcb.org,C8801,Main Site,OAC,dcruz@visionsvcb.org,Diana Cruz,,3,Bottcher,40.7433853,-73.99391556
Bottcher,YES,rng@greenwichhouse.org,FY24 SC 041,Westbeth,155 Bank Street,Manhattan,10014,3,3,Manhattan CD2,Ruby Ng,212-255-5191,rng@greenwichhouse.org,W1505,Main Site,OAC,rng@greenwichhouse.org,Ruby Ng,,3,Bottcher,40.73609504,-74.00920504
Brannan,NO,,FY24 SC 317,Bay Ridge Ctr for Health and Wellness,480 89th Street,Brooklyn,11209,47,43,Brooklyn CD10,Catherine King,718-748-0650 ext 105,cking@bayridgecenter.org,W1202,Main Site,OAC,,,,43,Brannan,40.61994687,-74.02816143
Brannan,YES,Dbreton@bayridgecenter.org,FY24 SC 318,Bay Ridge Ctr for Life Long Learning,"69-35 4th Avenue
15 Bay Ridge Avenue",Brooklyn,11209,,43,Brooklyn CD10,Daniela Breta,718-748-0650 ext 117,DBreton@BayRidgeCenter.org,W1201,Main Site,OAC,Dbreton@bayridgecenter.org,Daniela Breton,,43,Brannan,,
Brannan,NO,,FY24 SC 319,BAY RIDGE NNORC,7609 Third Avenue,Brooklyn,11209,47,43,310,Cathy King or Lascel Parkinson,718-333-5782,cking@bayridgecenter.org,2DA,Discretionary,NORC,,,,43,Brannan,40.63059941,-74.0281335
Brannan,YES,zhikangling@homecrest.org,FY24 SC 320,Homecrest Bensonhurtst OAC & Ave T Brooklyn,7907 New Utrecht Ave,Brooklyn,11214,43,43,Brooklyn CD11,Eileen Yu,718 621 7960,waiyee@homecrest.org,C4201,Main Site,OAC,zhikangling@homecrest.org,Zhikang Ling,,43,Brannan,40.61227862,-74.00093284
Brannan,YES,Natalie.barrington@NYULangone.org,FY24 SC 321,Shore Hill Older Adult Center,9000 Shore Road,Brooklyn,11209,47,43,Brooklyn CD10,Natalie Barrington,347-377-5474,natalie.barrington@nyulangone.org,C8001,Main Site,OAC,Natalie.barrington@NYULangone.org,Natalie Barrington,,43,Brannan,40.62211717,-74.04017222
Brewer,YES,sfalcon@projectfind.org,FY24 SC 049,FIND Aid Clinton OAC,530 West 55th Street,Manhattan,10019,6,6,Manhattan CD4,Stephanie Falcon,212-757-2026 ext. 332,sfalcon@projectfind.org ,C3301,Main Site,OAC,sfalcon@projectfind.org,stephanie falcon,FY24 SC 049,6,Brewer,40.76825796,-73.99058834
Brewer,YES,dyoung@projectfind.org,FY24 SC 042,FIND Aid Hamilton OAC ,141 West 73rd Street ,Manhattan,10023,6,6,Manhattan CD7,Daniel Young,212-787-7710 ext. 300,dyoung@projectfind.org,C3303,Main Site,OAC,dyoung@projectfind.org,Daniel Young,FY24 SC 042,6,Brewer,40.77862341,-73.97952727
Brewer,YES,vzakhary@goddard.org,FY24 SC 051,Goddard Riverside LSNC OAC @ West 65th St,250 West 65th Street,Manhattan,10023,6,6,Manhattan CD7,Viktoriia Zakhary ,212-874-0860 ext. 4904,vzakhary@goddard.org,C3601,Main Site,OAC,vzakhary@goddard.org,Viktoriia Zakhary,,6,Brewer,40.77500966,-73.98689022
Brewer,YES,mmason@goddard.org,FY24 SC 052,Goddard Riverside OAC at West 88th Street,593 Columbus Avenue,Manhattan,10024,6,6,Manhattan CD7,Marcia Mason,212-873-6600 ext. 1060,mmason@goddard.org,C3602,Main Site,OAC,mmason@goddard.org,Marcia Mason,,6,Brewer,40.78821165,-73.97090432
Brewer,YES,Nkaminsky@goddard.org,FY24 SC 053,GODDARD RIVERSIDE WEST SIDE NORC,593 COLUMBUS AVENUE,Manhattan,10024,6,6,107,Nina Kaminsky,212-665-3853,nkaminsky@goddard.org,N52-02,DFTA-Funded,NORC,Nkaminsky@goddard.org,Nina Kaminsky,,6,Brewer,40.78821165,-73.97090432
Brewer,YES,jinfante@jasa.org,FY24 SC 108,JASA Club 76 Older Adult Center,120 West 76th Street,Manhattan,10023,6,6,Manhattan CD7,Jessica Infante,212-273-5200,jinfante@jasa.org,C8304,Main Site,OAC,jinfante@jasa.org,Jessica Infante,,6,Brewer,40.78034128,-73.9777394
Brewer,YES,hzinn@lincolnhouseoutreach.org,FY24 SC 055,LINCOLN HOUSE OUTREACH NORC,303 W. 66TH STREET,Manhattan,10023,6,6,107,Holly Zinn,212-875-8958,hzinn@lincolnhouseoutreach.org,N36,Discretionary,NORC,hzinn@lincolnhouseoutreach.org,Holly Zinn,,6,Brewer,40.77610761,-73.98743159
Brewer,YES,vzakhary@goddard.org,FY24 SC 056,LINCOLN SQUARE NORC,250 W. 66TH STREET,Manhattan,10023,6,6,107,Viktoriia Zakhary ,212-724-6720,vzakhary@goddard.org,N52-01,DFTA-Funded- NYCHA,NORC,,,,6,Brewer,40.77524553,-73.98545319
Brooks-Powers,YES,vkrugolets@jasa.org,FY24 SC 234,JASA Brookdale Village,131 Beach 19th Street,Queens,11691,31,31,queens CD14,Victoria Krugolets,718-471-3200,vkrugolets@jasa.org,W2204,Main Site,OAC,vkrugolets@jasa.org,Viktoriya Krugolets,,31,Brooks-Powers,40.59376071,-73.75320673
Brooks-Powers,YES,schery@jasa.org,FY24 SC 235,JASA NNORC- FAR ROCKAWAY,131 BEACH 19TH. STREET,Queens ,11691,31,31,414,Stephania Chery,929-374-0219,schery@jasa.org,6XE,Discretionary,NORC,schery@jasa.org,Stephania Chery,FY24 SC 235,31,Brooks-Powers,40.59376071,-73.75320673
Brooks-Powers,YES,fsimon@jasa.org,FY24 SC 236,JASA Roy Reuther ,711 Seagirt Avenue,Queens,11691,31,31,queens CD14,Fran Simon,718-471-3110,fsimon@jasa.org,W2205,Main Site,OAC,fsimon@jasa.org,Fran Simon,,31,Brooks-Powers,40.5959955,-73.74218707
Brooks-Powers,YES,kthompson@oceanbaycdc.com,FY24 SC 237,Ocean Bay CDC Older Adult Center,74-16 Beach Channel Drive,Queens,11693,31,31,Queens CD14,Kahlii Thompson,718 945-8640 ext 214,kthompson@oceanbaycdc.com,C5301,Main Site,OAC,kthompson@oceanbaycdc.com,Kahlii Thompson,,31,Brooks-Powers,40.59074611,-73.80248438
Brooks-Powers,YES,deborahbowers255@gmail.com,FY24 SC 238,Robert Couche,137-57 Farmers Boulevard,Queens,11434,31,31,Queens CD12,Deborah Bowers,718-978-8352,deborahbowers255@gmail.com,CC301,Main Site,OAC,deborahbowers255@gmail.com,Deborah Bowers,,31,Brooks-Powers,40.67250996,-73.76413764
Brooks-Powers,YES,ccahn@snapqueens.org,FY24 SC 239,SNAP Brookville OAC,133-33 Brookville Boulevard,Queens,11422,31,31,Queens CD13,Marian Lewek,718-454-2100 x,mlewek8@aol.com,C7002,Main Site,OAC,ccahn@snapqueens.org,Cathy Cahn,,31,Brooks-Powers,40.67439561,-73.73274872
Brooks-Powers,YES,alicekwitkin@gmail.com,FY24 SC 362,Young Israel Wavecrest & Bayswater Senior League,2716 Healy Avenue,Queens,11691,31,31,Queens CD14,Alice Kwitkin,718-327-0297,alicekwitkin@gmail.com,C9404,Main Site,OAC,alicekwitkin@gmail.com,Alice Kwitkin,,31,Brooks-Powers,40.60414859,-73.76573683
Caban,YES,jleon@raices.us,FY24 SC 245,Astoria NSC ,21-21 30th Drive ,Queens,11102,22,22,Queens CD1,Jenedier Leon,718-726-9642,jleon@raices.us,C7209,Main Site,OAC,jleon@raices.us,Jenedier Leon,,22,Caban,40.76813486,-73.9289163
