Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Adams,YES,Dcarter@allencnp.org,FY24 SC 219,Allen AME Rockaway Blvd Senior Center,123-10 143rd Street,Queens,11436,,28,Queens CD12,Danielle Carter,718-657-6752,dcarter@allencnp.org,C0205,Main Site,OAC,Dcarter@allencnp.org,Danielle Carter,,28,Adams,"123-10%20143rd%20Street,%20Queens,%2011436",40.67452191925708,-73.79572549081612
Adams,YES,Brooksseniorcenter@yahoo.com,FY24 SC 220,Brooks Senior Center,143-22 109th Avenue,Queens,11435,,28,Queens CD12,Stella Langaigne,718-291-3935,stellal@brooksseniorcenter.org,C1401,Main Site,OAC,Brooksseniorcenter@yahoo.com,Stella Langaigne ,,28,Adams,"143-22%20109th%20Avenue,%20Queens,%2011435",40.68856412078659,-73.80355402703555
Adams,YES,sabrina.marson@ccbq.org,FY24 SC 335,CCNS Ozone Park OAC,103-02 101 Avenue,Queens,11416,,28,Queens CD9,Sabrina Marson,718-847-2100,sabrina.marson@ccbq.org,C1705,Main Site,OAC,sabrina.marson@ccbq.org,Sabrina Marson,,28,Adams,"103-02%20101%20Avenue,%20Queens,%2011416",40.68602644287513,-73.83977719164326
Adams,YES,pcarolei@rvsocialservices.org,FY24 SC 222,ROCHDALE VILLAGE NORC,169-65 137TH AVENUE,Queens ,11434,,28,412,Phara Carolei,718-286-1541,pcarolei@rvsocialservices.org,N60,DFTA-Funded,NORC,pcarolei@rvsocialservices.org,Phara Carolei,,28,Adams,"169-65%20137TH%20AVENUE,%20Queens%20,%2011434",40.67262191709716,-73.77064063100818
Adams,YES,sshivers@rvsocialservices.org,FY24 SC 223,Rochdale Village SC,169-65 137th Avenue,Queens,11434,,28,Queens CD12,Sheree Shivers,718-525-2800,sshivers@rvsocialservices.org,C6301,Main Site,OAC,sshivers@rvsocialservices.org,Sheree Shivers,,28,Adams,"169-65%20137th%20Avenue,%20Queens,%2011434",40.67262191709716,-73.77064063100818
Ariola,YES,Dhoffer@ccbq.org,FY24 SC 217,CCNS Howard Beach OAC,155-55 CrossBay Boulevard,Queens,11414,,32,Queens CD10  ,Debra Hoffer,718-738-8100,dhoffer@ccbq.org,C1704,Main Site,OAC,Dhoffer@ccbq.org,"Acting manager, Debra Hoffer",,32,Ariola,"155-55%20CrossBay%20Boulevard,%20Queens,%2011414",40.66437204030979,-73.8411520689931
Ariola,YES,Jurate.Jones@ccbq.org,FY24 SC 243,CCNS Seaside OAC,320 Beach 94th Street,Queens,11693,,32,Queens CD14,Jurate Jones,347-926-4119,jurate.jones@ccbq.org,C1709,Main Site,OAC,Jurate.Jones@ccbq.org,Jurate Jones,,32,Ariola,"320%20Beach%2094th%20Street,%20Queens,%2011693",40.58768273699936,-73.81731266296899
Ariola,YES,Annie.Liu@ccbq.org,FY24 SC 249,CCNS Woodhaven-Richmond Hill OAC,89-02 91St Street ,Queens,11421,,32,Queens CD9,Annie Liu,718-847-9200,Annie.Liu@ccbq.org,C1716,Main Site,OAC,Annie.Liu@ccbq.org,"Annie Liu, Director of Operations for OAS",,32,Ariola,"89-02%2091St%20Street%20,%20Queens,%2011421",40.69045487767545,-73.85294626569423
Ariola,YES,rjoyce@jasa.org,FY24 SC 244,JASA Rockaway Park,106-20 Shore Front Parkway,Queens,11694,,32,queens CD14,Revere Joyce ,718-634-3044,rjoyce@jasa.org,W2206,Main Site,OAC,rjoyce@jasa.org,Revere Joyce,,32,Ariola,"106-20%20Shore%20Front%20Parkway,%20Queens,%2011694",40.58072274466203,-73.82671334939981
Aviles,YES,katy@bca.net,FY24 SC 281,BCA 6th Avenue Older Adult Center,545 60th Street,Brooklyn,11200,,38,Brooklyn CD7   ,KATY CHAU,718-567-9311,katy@bca.net,C1203,Main Site,OAC,katy@bca.net,Katy Chau,,38,Aviles,"545%2060th%20Street,%20Brooklyn,%2011200",40.638869153480435,-74.01513682535126
Aviles,YES,tmcbride@ccbq.org,FY24 SC 241,CCNS Narrows OAC,930 53rd Street,Brooklyn,11219,,38,Brooklyn CD12 ,Tselita McBride,718-232-2311,tmcbride@ccbq.org,C1714,Main Site,OAC,tmcbride@ccbq.org,Tselita McBride,,38,Aviles,"930%2053rd%20Street,%20Brooklyn,%2011219",40.63744284023635,-74.00217265188043
Aviles,YES,smei@cpc-nyc.org,FY24 SC 284,CPC Brooklyn Senior Center,4101 8th Avenue,Brooklyn,11232,,38,Brooklyn CD7   ,Steve Mei,917-922-8382,smei@cpc-nyc.org,C2101,Main Site,OAC,smei@cpc-nyc.org,Steve Mei,,38,Aviles,"4101%208th%20Avenue,%20Brooklyn,%2011232",40.64606971212268,-73.99854417106303
Aviles,YES,msanchez@raices.us,FY24 SC 252,Red Hook NSC,120 West 9th Street,Brooklyn,11231,,38,Brooklyn CD6   ,Maria Sanchez,718-269-0519,msanchez@raices.us,C7201,Main Site,OAC,msanchez@raices.us,Maria Sanchez,,38,Aviles,"120%20West%209th%20Street,%20Brooklyn,%2011231",40.675924670112245,-74.00196120165917
Aviles,YES,Derin.Martinez@nyulangone.org,FY24 SC 285,Sunset Park OAC,4520 4th Avenue,Brooklyn,11220,,38,Brooklyn CD7   ,Derin Martinez,718-210-1050,Derin.Martinez@nyulangone.org,C8002,Main Site,OAC,Derin.Martinez@nyulangone.org,Derin Martinez ,,38,Aviles,"4520%204th%20Avenue,%20Brooklyn,%2011220",40.64911052020389,-74.00984531172224
Aviles,YES,griselamador@hotmail.com,FY24 SC 287,United Neighborhood Senior Citizens Ctr,475 53rd Street,Brooklyn,11220,,38,Brooklyn CD7   ,Grisel Amador,718-439-8647/ 8646,griselamador@hotmail.com,C8601,Main Site,OAC,griselamador@hotmail.com,Grisel Amador - Executive Director ,,38,Aviles,"475%2053rd%20Street,%20Brooklyn,%2011220",40.64385946118859,-74.01276690861924
Ayala,YES,KREYES@IPRHE.ORG,FY24 SC 067,Betances ,607 Concord Avenue,Bronx,10455,,8,Bronx CD1,Karen Reyes,718-292-4922,karen.reyes@iprhe.org,W1601,Main Site,OAC,KREYES@IPRHE.ORG,KAREN REYES,,8,Ayala,"607%20Concord%20Avenue,%20Bronx,%2010455",40.814544162879585,-73.90762790233684
Ayala,NO,,FY24 SC 141,Bronxworks E Roberts Moore,515 Jackson Avenue,Bronx,10455,,8,Bronx CD1,Wanda Abeyllez,718 665-5559,wabeyllez@bronxworks.org,C1102,Main Site,OAC,,,,8,Ayala,"515%20Jackson%20Avenue,%20Bronx,%2010455",40.81235253659876,-73.90940108977529
Ayala,NO,,FY24 SC 070,Carver ,55 East 102 Street,Manhattan,10029,,8,Manhattan CD11,James Correa,212-860-9708,aliranzo@iprhe.org,W1603,Main Site,OAC,,,,8,Ayala,"55%20East%20102%20Street,%20Manhattan,%2010029",40.79083978813012,-73.95085282482518
Ayala,YES,wmartinez@boriken.org,FY24 SC 071,Casabe Senior Houses aka East Harlem NSC,150 East 121st Street,Manhattan,10035,,8,Manhattan CD11,Wendy Martinez,212-722-2205,Wmartinez@boriken.org,C3001,Main Site,OAC,wmartinez@boriken.org,Wendy  Martinez,,8,Ayala,"150%20East%20121st%20Street,%20Manhattan,%2010035",40.80170327186305,-73.93903729721721
Ayala,YES,carrascom@carterburdennetwork.org ,FY24 SC 044,CBN Leonard Covello (ISC) Senior Program,312 East 109th Street,Manhattan,10029,,8,Manhattan CD11,Mara Carrasco,212-423-9665,carrascom@carterburdennetwork.org; moralesb@carterburdennetwork.org ,C1603,Main Site,OAC,carrascom@carterburdennetwork.org ,Mara Carrasco,,8,Ayala,"312%20East%20109th%20Street,%20Manhattan,%2010029",40.79230607395336,-73.94047964921788
Ayala,YES,RJimenez@unionsettlement.org,FY24 SC 072,Corsi OAC,307 E 116th Street,Manhattan,10029,,8,Manhattan CD11,Roossvert Jimenez,212-828-6756,Rjimenez@unionsettlement.org,W2405,Main Site,OAC,RJimenez@unionsettlement.org,Roossvert Jimenez ,,8,Ayala,"307%20E%20116th%20Street,%20Manhattan,%2010029",40.796934904822976,-73.93758975879454
Ayala,YES,Egarcia1@eastsidehouse.org,FY24 SC 073,East Side House Borinquen Court Mitchel OAC,295 East 138th Street,Bronx,10454,,8,Bronx CD1,Miquel Orta,718-665-2168,morta@eastsidehouse.org,C3101,Main Site,OAC,Egarcia1@eastsidehouse.org,Emily Garcia ,,8,Ayala,"295%20East%20138th%20Street,%20Bronx,%2010454",40.81046231039962,-73.92602810773755
Ayala,YES,SWhite@unionsettlement.org,FY24 SC 075,Gaylord White OAC,2029 2nd Avenue,Manhattan,10029,,8,Manhattan CD11,Sherice White,212-828-6055,shwhite@unionsettlement.org,W2401,Main Site,OAC,SWhite@unionsettlement.org,Sherice White ,,8,Ayala,"2029%202nd%20Avenue,%20Manhattan,%2010029",40.78947218248413,-73.94328816237638
Ayala,YES,vlopez@jasa.org,FY24 SC 076,JASA 1199 PLAZA NORC,2106 FIRST AVENUE,Manhattan,10029,,8,111,Nicole Thomas ,212-289-3836,nthomas@jasa.org; vlopez@jasa.org,3N4,Discretionary,NORC,vlopez@jasa.org,Victoria Lopez,FY24 SC 076,8,Ayala,"2106%20FIRST%20AVENUE,%20Manhattan,%2010029",40.79130337962323,-73.93882291359738
Ayala,NO,,FY24 SC 077,Jefferson OAC,2205 1st Avenue,Manhattan,10029,,8,Manhattan CD11,Sasha Tapia,212-828-6104,stapia@unionsettlement.org,W2403,Main Site,OAC,,,,8,Ayala,"2205%201st%20Avenue,%20Manhattan,%2010029",40.79431866467358,-73.9366495936599
Ayala,NO,,FY24 SC 078,Lehman Village Senior Program (Social Club),1641 Madison Avenue,Manhattan,10029,,8,Manhattan CD11,Cecilia Cordova,646.370.5642 ,Cordovac@carterburdennetwork.org ,C1604,Affiliated,OAC,,,,8,Ayala,"1641%20Madison%20Avenue,%20Manhattan,%2010029",40.79583937438257,-73.94786591532588
Ayala,YES,akramer@wsfssh.org,FY24 SC 063,Mill Brook OAC,570 East 137th Street,Bronx,10454,,8,Bronx CD1,Amelia Kramer,646-214-2450 Ext. 2457,akramer@wsfssh.org,C9103,Main Site,OAC,akramer@wsfssh.org,Amelia J. Kramer,,8,Ayala,"570%20East%20137th%20Street,%20Bronx,%2010454",40.80599372323477,-73.91767083909016
Ayala,YES,Agomez@eastsidehouse.org,FY24 SC 079,Patterson Older Adult Centers,308 East 145th Street ,Bronx,10451,,8,Bronx CD1,Maribel Rodriguez,718-993-5146,agomez@eastsidehouse.org,C3103,Affiliated,OAC,Agomez@eastsidehouse.org,Alicia Gomez ,,8,Ayala,"308%20East%20145th%20Street%20,%20Bronx,%2010451",40.81519716726904,-73.92217893650191
Ayala,NO,,FY24 SC 080,UNION SETTLEMENT FRANKLIN PLAZA NORC,2090 SECOND AVENUE,Manhattan,10029,,8,111,Melanie Kane,646-676-1801,mkane@unionsettlement.org,N70,DFTA-Funded,NORC,,,,8,Ayala,"2090%20SECOND%20AVENUE,%20Manhattan,%2010029",40.791584846695876,-73.94172623186267
Ayala,NO,,FY24 SC 081,Wagner Satellite,435 East 120th Street ,Manhattan,10035,,8,Manhattan CD11,Lamont Wilson,212-987-2980,lwilson@unionsettlement.org,W2404,Affiliated,OAC,,,,8,Ayala,"435%20East%20120th%20Street%20,%20Manhattan,%2010035",40.7980407225072,-73.93218552242023
Ayala,YES,ASoto@unionsettlement.org,FY24 SC 082,Washington Lexington Satellite,1775 3rd Avenue,Manhattan,10029,,8,Manhattan CD11,Annette Soto,212-828-6115,asoto@unionsettlement.org,W2402,Affiliated,OAC,ASoto@unionsettlement.org,Annette Soto ,,8,Ayala,"1775%203rd%20Avenue,%20Manhattan,%2010029",40.786573358612756,-73.94830289675876
Barron,YES,plynch@milldev.org,FY24 SC 246,Bergen Basin Abe Stark Older Adult Center,103-15 Farragut Road,Brooklyn,11236,,42,Brooklyn CD18   ,Patricia Lynch,718-272-9515,plynch@milldev.org,C0801,Main Site,OAC,plynch@milldev.org,Patricia Lynch,,42,Barron,"103-15%20Farragut%20Road,%20Brooklyn,%2011236",40.649667955100064,-73.89929010241485
Barron,YES,tking@milldev.org,FY24 SC 309,Bergen Basin Penn Wortman Older Adult Center,895 Pennsylvania Avenue,Brooklyn,11207,,42,Brooklyn CD5,Tashia King,347-318-3770,tking@milldev.org>,C0806,Main Site,OAC,tking@milldev.org,Tashia King,,42,Barron,"895%20Pennsylvania%20Avenue,%20Brooklyn,%2011207",40.65596566203373,-73.88865218058505
Barron,YES,sdundas@milldev.org,FY24 SC 310,Bergen Basin Vandalia Older Adult Center,47 Vandalia Avenue,Brooklyn,11239,,42,Brooklyn CD5,Simone Dundas,718-272-3949,sdundas@milldev.org,C0807,Main Site,OAC,sdundas@milldev.org,Simone Dundas,,42,Barron,"47%20Vandalia%20Avenue,%20Brooklyn,%2011239",40.64979902890604,-73.88675969679981
Barron,NO,,FY24 SC 346,CCNS Riverway OAC (ISC),230 Riverdale Avenue,Brooklyn,11212,,42,Brooklyn CD16  ,Leticia Knowles,718-942-5345 ,leticia.knowles@ccbq.org,C1708,Main Site,OAC,,,,42,Barron,"230%20Riverdale%20Avenue,%20Brooklyn,%2011212",40.66108258859356,-73.90802423151139
Barron,YES,awilliamsonchasc@gmail.com,FY24 SC 313,Cypress Hills Adult Social Club,475 Fountain Avenue,Brooklyn,11208,,42,Brooklyn CD5,Alener Williamson,347-529-7333,awilliamsonchasc@gmail.com,C2802,Affiliated,OAC,awilliamsonchasc@gmail.com,Alener Williamson,,42,Barron,"475%20Fountain%20Avenue,%20Brooklyn,%2011208",40.66828724510903,-73.87300506037002
Barron,YES,dforde@jasa.org,FY24 SC 125,JASA Starrett City Older Adult Center,1540 Van Siclen Avenue,Brooklyn,11239,,42,Brooklyn CD5,Donna Forde      ,718 642-1010,dforde@jasa.org,C8308,Main Site,OAC,dforde@jasa.org,Donna Forde,,42,Barron,"1540%20Van%20Siclen%20Avenue,%20Brooklyn,%2011239",40.64821415182006,-73.87761270401029
Barron,NO,,FY24 SC 315,SPRING CREEK NORC,160 SCHROEDERS AVENUE,Brooklyn,11239,,42,305,Jahiah Wilson,718-348-7620,JWilson@springcreektowers.com,N63,DFTA-Funded,NORC,,,,42,Barron,"160%20SCHROEDERS%20AVENUE,%20Brooklyn,%2011239",40.648735026364086,-73.87961179337388
Barron,YES,cokoro@fortgreenecouncil.org,FY24 SC 274,Teresa Moore OAC,2702 Linden Boulevard,Brooklyn,11208,,42,Brooklyn CD5,Chike Okoro,347-663-7770,cokoro@fortgreenecouncil.org,C3513,Main Site,OAC,cokoro@fortgreenecouncil.org,Chike Okoro,,42,Barron,"2702%20Linden%20Boulevard,%20Brooklyn,%2011208",40.66920803898867,-73.8645140240984
Barron,YES,bcolon@wordnyc.org,FY24 SC 316,Wayside Out Rosetta Gaston Senior Center,460 Dumont Avenue,Brooklyn,11212,,42,Brooklyn CD16  ,Bethzaida Colon,718-345-5665,bcolon@wordnyc.org,C9001,Main Site,OAC,bcolon@wordnyc.org,Bethzaida Colon,,42,Barron,"460%20Dumont%20Avenue,%20Brooklyn,%2011212",40.66514007838339,-73.90222248919095
Borelli,YES,sschechter@sijcc.com,FY24 SC 373,Avis South Shore OAC,1297 Arthur Kill Road,Staten Island,10312,,51,Staten Island CD3,Stefanie Schechter,718-475-5283,sschechter@sijcc.com,W1702,Main Site,OAC,sschechter@sijcc.com,"Stefanie Schechter, MSW",,51,Borelli,"1297%20Arthur%20Kill%20Road,%20Staten%20Island,%2010312",40.565338254347175,-74.18377437295348
Borelli,YES,greatkillsfc@aol.com,FY24 SC 371,Great Kills OAC,11 Sampson Avenue,Staten Island,10308,,51,Staten Island CD3,Debbie Sica,718-356-5050,greatkillsfc@aol.com,C7701,Main Site,OAC,greatkillsfc@aol.com,Debbie Sica,,51,Borelli,"11%20Sampson%20Avenue,%20Staten%20Island,%2010308",40.55261871549579,-74.14980550059629
Borelli,YES,mountlorettosc@gmail.com,FY24 SC 367,Mount Loretto OAC,6581 Hylan Boulevard,Staten Island,10309,,51,Staten Island CD3,"Amy Ciccone, Director",718-984-8589,mountlorettosc@gmail.com,C7703,Main Site,OAC,mountlorettosc@gmail.com,Amy Ciccone,,51,Borelli,"6581%20Hylan%20Boulevard,%20Staten%20Island,%2010309",40.509083562591435,-74.22092994355049
Bottcher,YES,slee@encorenyc.org,FY24 SC 031,Encore Aging Through Arts Center,239 West 49th Sreet,Manhattan,10019,,3,Brooklyn CD10,Stacey Lee ,212-581-2910 ext. 1107,slee@encorenyc.org; SChristian@encorenyc.org,W1401,Main Site,OAC,slee@encorenyc.org,Stacey Lee,,3,Bottcher,"239%20West%2049th%20Sreet,%20Manhattan,%2010019",40.7611430404805,-73.98531187569623
Bottcher,NO,,FY24 SC 032,FIND Aid Coffeehouse Center,331 West 42nd Street,Manhattan,10036,,3,Manhattan CD4,Aaron De Broux,646-545-4621 ext. 212,adebroux@projectfind.org,C3302,Main Site,OAC,,,,3,Bottcher,"331%20West%2042nd%20Street,%20Manhattan,%2010036",40.75767699953052,-73.99082085122073
Bottcher,YES,ascott@hudsonguild.org ,FY24 SC 033,Hudson Guild ,119 9th Avenue,Manhattan,10011,,3,Manhattan CD4,Armisha Scott,212-760-9800 ext. 4023,ascott@hudsonguild.org,C8201,Main Site,OAC,ascott@hudsonguild.org ,Armisha Scott ,,3,Bottcher,"119%209th%20Avenue,%20Manhattan,%2010011",40.743171313291576,-74.00376035806184
Bottcher,NO,,FY24 SC 034,HUDSON GUILD ELLIOTT-CHELSEA NORC,441 W. 26TH STREET,Manhattan,10001,,3,104,Yesenia Zuniga,212-760-9800,yzuniga@hudsonguild.org; nstewart@hudsonguild.org,N67,DFTA-Funded- NYCHA,NORC,,,,3,Bottcher,"441%20W.%2026TH%20STREET,%20Manhattan,%2010001",40.749196084809064,-74.00181538499376
Bottcher,NO,,FY24 SC 035,JCW Workforce Center,27 Barrow Street,Manhattan,10014,,3,Manhattan CD2,Nancy Spannbauer,212-242-4140,acilione@greenwichhouse.org,W1504,Main Site,OAC,,,,3,Bottcher,"27%20Barrow%20Street,%20Manhattan,%2010014",40.73248601156011,-74.00311027722326
Bottcher,NO,aacevedo@encorenyc.org,FY24 SC 036,Lifelong Learning Center @ Encore West,755 10th Avenue,Manhattan,10019,,3,Manhattan CD4,Anita Acevedo,212-991-3727 ext. 1141,aacevedo@encorenyc.org,W1402,Main Site,OAC,aacevedo@encorenyc.org,Anita Acevedo,,3,Bottcher,"755%2010th%20Avenue,%20Manhattan,%2010019",40.76546112314897,-73.99123492802222
Bottcher,YES,mspringer@greenwichhouse.org,FY24 SC 037,Our Lady of Pompeii,25 Carmine Street,Manhattan,10014,,3,Manhattan CD2,Mary Springer,212-989-3620,nbrown@greenwichhouse.org,W1502,Main Site,OAC,mspringer@greenwichhouse.org,Mary Springer,,3,Bottcher,"25%20Carmine%20Street,%20Manhattan,%2010014",40.73017767678976,-74.00295502181669
Bottcher,NO,,FY24 SC 038,PENN SOUTH NORC,290 9TH AVENUE,Manhattan,10001,,3,104,Marie Orraca,212-243-3670,morraca@jasa.org,N58,DFTA-Funded,NORC,,,,3,Bottcher,"290%209TH%20AVENUE,%20Manhattan,%2010001",40.74892436816067,-73.99954525332757
Bottcher,NO,,FY24 SC 039,SAGE Edie Windsor Center,305 7th Avenue,Manhattan,10001,,3,Manhattan CD5,Deidre Best,646-576-8669,dbest@sageusa.org,C6904,Main Site,OAC,,,,3,Bottcher,"305%207th%20Avenue,%20Manhattan,%2010001",40.74681622745389,-73.99365540195873
Bottcher,YES,dcruz@visionsvcb.org,FY24 SC 040,Visions Center on Aging OAC ,135 West 23rd Street,Manhattan,10011,,3,Manhattan CD4,Diana Cruz,646-486-4444 ,dcruz@visionsvcb.org,C8801,Main Site,OAC,dcruz@visionsvcb.org,Diana Cruz,,3,Bottcher,"135%20West%2023rd%20Street,%20Manhattan,%2010011",40.74338530448636,-73.99391556232348
Bottcher,YES,rng@greenwichhouse.org,FY24 SC 041,Westbeth,155 Bank Street,Manhattan,10014,,3,Manhattan CD2,Ruby Ng,212-255-5191,rng@greenwichhouse.org,W1505,Main Site,OAC,rng@greenwichhouse.org,Ruby Ng,,3,Bottcher,"155%20Bank%20Street,%20Manhattan,%2010014",40.736095036869095,-74.0092050428824
Brannan,NO,,FY24 SC 317,Bay Ridge Ctr for Health and Wellness,480 89th Street,Brooklyn,11209,,43,Brooklyn CD10,Catherine King,718-748-0650 ext 105,cking@bayridgecenter.org,W1202,Main Site,OAC,,,,43,Brannan,"480%2089th%20Street,%20Brooklyn,%2011209",40.61994686914793,-74.02816142686866
Brannan,YES,Dbreton@bayridgecenter.org,FY24 SC 318,Bay Ridge Ctr for Life Long Learning,"69-35 4th Avenue
15 Bay Ridge Avenue",Brooklyn,11209,,43,Brooklyn CD10,Daniela Breta,718-748-0650 ext 117,DBreton@BayRidgeCenter.org,W1201,Main Site,OAC,Dbreton@bayridgecenter.org,Daniela Breton,,43,Brannan,"69-35%204th%20Avenue%2015%20Bay%20Ridge%20Avenue,%20Brooklyn,%2011209",NA,NA
Brannan,NO,,FY24 SC 319,BAY RIDGE NNORC,7609 Third Avenue,Brooklyn,11209,,43,310,Cathy King or Lascel Parkinson,718-333-5782,cking@bayridgecenter.org,2DA,Discretionary,NORC,,,,43,Brannan,"7609%20Third%20Avenue,%20Brooklyn,%2011209",40.63059940772873,-74.028133497623
Brannan,YES,zhikangling@homecrest.org,FY24 SC 320,Homecrest Bensonhurtst OAC & Ave T Brooklyn,7907 New Utrecht Ave,Brooklyn,11214,,43,Brooklyn CD11,Eileen Yu,718 621 7960,waiyee@homecrest.org,C4201,Main Site,OAC,zhikangling@homecrest.org,Zhikang Ling,,43,Brannan,"7907%20New%20Utrecht%20Ave,%20Brooklyn,%2011214",40.61227861848493,-74.00093284364236
Brannan,YES,Natalie.barrington@NYULangone.org,FY24 SC 321,Shore Hill Older Adult Center,9000 Shore Road,Brooklyn,11209,,43,Brooklyn CD10,Natalie Barrington,347-377-5474,natalie.barrington@nyulangone.org,C8001,Main Site,OAC,Natalie.barrington@NYULangone.org,Natalie Barrington,,43,Brannan,"9000%20Shore%20Road,%20Brooklyn,%2011209",40.6221171745333,-74.04017222433133
Brewer,YES,sfalcon@projectfind.org,FY24 SC 049,FIND Aid Clinton OAC,530 West 55th Street,Manhattan,10019,,6,Manhattan CD4,Stephanie Falcon,212-757-2026 ext. 332,sfalcon@projectfind.org ,C3301,Main Site,OAC,sfalcon@projectfind.org,stephanie falcon,FY24 SC 049,6,Brewer,"530%20West%2055th%20Street,%20Manhattan,%2010019",40.76825796315686,-73.99058834338229
Brewer,YES,dyoung@projectfind.org,FY24 SC 042,FIND Aid Hamilton OAC ,141 West 73rd Street ,Manhattan,10023,,6,Manhattan CD7,Daniel Young,212-787-7710 ext. 300,dyoung@projectfind.org,C3303,Main Site,OAC,dyoung@projectfind.org,Daniel Young,FY24 SC 042,6,Brewer,"141%20West%2073rd%20Street%20,%20Manhattan,%2010023",40.77862340518477,-73.97952727261506
Brewer,YES,vzakhary@goddard.org,FY24 SC 051,Goddard Riverside LSNC OAC @ West 65th St,250 West 65th Street,Manhattan,10023,,6,Manhattan CD7,Viktoriia Zakhary ,212-874-0860 ext. 4904,vzakhary@goddard.org,C3601,Main Site,OAC,vzakhary@goddard.org,Viktoriia Zakhary,,6,Brewer,"250%20West%2065th%20Street,%20Manhattan,%2010023",40.77500965964032,-73.98689022244788
